"SegmentName","KPI","size_treatment","size_control","mean_treatment","mean_control","rel_effect","confidence_interval","pValue","Significant"
"co_","IngoreR",210,1321,0.585138142539217,0.648853876921203,-0.0981973548255815,"(-0.296 ; 0.169)",0.59,"NO"
"co_","PassCanc_perAccepted",210,1321,0.095945945945946,0.0923110576397244,0.039376521070834,"(-0.03 ; 0.037)",0.831,"NO"
"co_","driver_earning",210,1321,60176.7380952381,41721.4239212718,0.442346220224685,"(956.611 ; 35954.018)",0.039,"YES"
"co_","supply_hours",210,1321,344.109523809524,263.794095382286,0.304462570744223,"(7.253 ; 153.378)",0.031,"YES"
"co_","utilisation",210,1321,0.729037621167363,0.599374502399631,0.216330721858568,"(-0.011 ; 0.271)",0.072,"NO"
"co_","rides",210,1321,6.45238095238095,4.3671461014383,0.477482273894131,"(0.256 ; 3.915)",0.026,"YES"
"co_","time_to_accept",210,1321,9.77288741811753,7.54448231930194,0.295368854283667,"(0.571 ; 3.886)",0.009,"YES"
"co_","time_to_reject",210,1321,11.0649753228247,5.93610848287152,0.864011642434154,"(1.534 ; 8.724)",0.005,"YES"
"co_","accepted",210,1321,10.5714285714286,6.92127176381529,0.52738238465024,"(0.857 ; 6.443)",0.011,"YES"
"co_","rejected",210,1321,25.8238095238095,19.2634367903104,0.340560866937257,"(-7.517 ; 20.638)",0.36,"NO"
"co_","ignored",210,1321,51.3333333333333,48.3845571536715,0.0609445730855082,"(-16.949 ; 22.847)",0.771,"NO"
"co_","broadcasts",210,1321,87.7285714285714,74.5692657077971,0.176470903875326,"(-15.942 ; 42.261)",0.374,"NO"
"co_","drac_score_avg",210,1321,55.9063035847317,37.0538060241542,0.508787074350422,"(-1.128 ; 38.833)",0.064,"NO"
"co_","driver_aborts",210,1321,1.33333333333333,0.763058289174868,0.747354497354497,"(0.144 ; 0.997)",0.009,"YES"
"co_","pax_can",210,1321,1.01428571428571,0.63890991672975,0.58752538930264,"(0.041 ; 0.709)",0.028,"YES"
"co_","rides_surge",210,1321,1.01904761904762,0.564723694171082,0.804506574747862,"(0.059 ; 0.849)",0.024,"YES"
"co_Low Contributor - Low Margin","Utilisation_weighted",744,910,0.471121037285191,0.494857451297905,-0.0479661647014869,"(-0.114 ; 0.067)",0.607,"NO"
"co_Low Contributor - Low Margin","AccR",744,910,0.0720508038433391,0.0593719683431197,0.213549185820258,"(0.001 ; 0.025)",0.039,"YES"
"co_Low Contributor - Low Margin","RejR",744,910,0.384723435397436,0.405841205003829,-0.0520345626467229,"(-0.131 ; 0.089)",0.706,"NO"
"co_Low Contributor - Low Margin","IngoreR",744,910,0.543225760759225,0.534786826653051,0.0157799962257649,"(-0.116 ; 0.133)",0.894,"NO"
"co_Low Contributor - Low Margin","PassCanc_perAccepted",744,910,0.0724115334207077,0.0930512555899553,-0.221810248968586,"(-0.04 ; -0.001)",0.039,"YES"
"co_Low Contributor - Low Margin","driver_earning",744,910,50194.6599462366,40224.6714285714,0.247857550194518,"(1192.595 ; 18747.382)",0.026,"YES"
"co_Low Contributor - Low Margin","supply_hours",744,910,303.314516129032,223.945054945055,0.354414886291866,"(41.13 ; 117.609)",0,"YES"
"co_Low Contributor - Low Margin","utilisation",744,910,0.671393456410847,0.541692530502457,0.239436430456376,"(0.051 ; 0.209)",0.001,"YES"
"co_Low Contributor - Low Margin","rides",744,910,5.15860215053763,3.97582417582418,0.297492525425441,"(0.295 ; 2.071)",0.009,"YES"
"co_Low Contributor - Low Margin","time_to_accept",744,910,10.0460651197725,6.78222608484502,0.481234183894363,"(2.208 ; 4.32)",0,"YES"
"co_Low Contributor - Low Margin","time_to_reject",744,910,14.2722823340523,6.32324745775387,1.25711273035043,"(3.281 ; 12.617)",0.001,"YES"
"co_Low Contributor - Low Margin","accepted",744,910,8.20430107526882,6.38901098901099,0.284126931285625,"(0.474 ; 3.156)",0.008,"YES"
"co_Low Contributor - Low Margin","rejected",744,910,43.8077956989247,43.6725274725275,0.00309732992857695,"(-11.946 ; 12.217)",0.982,"NO"
"co_Low Contributor - Low Margin","ignored",744,910,61.8561827956989,57.5483516483516,0.0748558564052402,"(-9.426 ; 18.042)",0.538,"NO"
"co_Low Contributor - Low Margin","broadcasts",744,910,113.868279569892,107.60989010989,0.0581581251835808,"(-15.212 ; 27.729)",0.568,"NO"
"co_Low Contributor - Low Margin","drac_score_avg",744,910,42.5202326472829,37.9068485267717,0.121703182928884,"(-6.551 ; 15.778)",0.418,"NO"
"co_Low Contributor - Low Margin","driver_aborts",744,910,1.15456989247312,0.8,0.443212365591398,"(0.073 ; 0.636)",0.014,"YES"
"co_Low Contributor - Low Margin","pax_can",744,910,0.594086021505376,0.594505494505495,-0.000705583050106284,"(-0.14 ; 0.139)",0.995,"NO"
"co_Low Contributor - Low Margin","rides_surge",744,910,0.967741935483871,0.83956043956044,0.152676912683668,"(-0.107 ; 0.363)",0.285,"NO"
"co_Low Contributor - High Margin","Utilisation_weighted",1959,2316,0.372682126092341,0.371796736984308,0.00238137944731215,"(-0.039 ; 0.041)",0.966,"NO"
"co_Low Contributor - High Margin","AccR",1959,2316,0.105590395025996,0.0832619831952285,0.268170550038576,"(0.012 ; 0.033)",0,"YES"
"co_Low Contributor - High Margin","RejR",1959,2316,0.282833967590359,0.297820313747116,-0.0503200939123368,"(-0.081 ; 0.051)",0.656,"NO"
"co_Low Contributor - High Margin","IngoreR",1959,2316,0.611575637383645,0.618917703057656,-0.0118627495024596,"(-0.124 ; 0.109)",0.902,"NO"
"co_Low Contributor - High Margin","PassCanc_perAccepted",1959,2316,0.0861252115059222,0.0796514161220044,0.0812765886547668,"(-0.006 ; 0.019)",0.326,"NO"
"co_Low Contributor - High Margin","driver_earning",1959,2316,35209.6518631955,29587.2413644214,0.190028209440811,"(1781.662 ; 9463.159)",0.004,"YES"
"co_Low Contributor - High Margin","supply_hours",1959,2316,319.057682491067,270.075561312608,0.181364507548919,"(24.893 ; 73.071)",0,"YES"
"co_Low Contributor - High Margin","utilisation",1959,2316,0.621752393289962,0.552365824858551,0.125617055416453,"(0.025 ; 0.113)",0.002,"YES"
"co_Low Contributor - High Margin","rides",1959,2316,3.73813169984686,3.14594127806563,0.188239502723762,"(0.189 ; 0.995)",0.004,"YES"
"co_Low Contributor - High Margin","time_to_accept",1959,2316,9.67804344386158,7.38455711839597,0.310578723773726,"(1.583 ; 3.004)",0,"YES"
"co_Low Contributor - High Margin","time_to_reject",1959,2316,10.6172991842538,5.8829997548112,0.804742414882956,"(2.327 ; 7.142)",0,"YES"
"co_Low Contributor - High Margin","accepted",1959,2316,6.03369065849923,4.95466321243523,0.217780179963767,"(0.46 ; 1.698)",0.001,"YES"
"co_Low Contributor - High Margin","rejected",1959,2316,16.1618172537009,17.722366148532,-0.0880553353740721,"(-5.411 ; 2.29)",0.427,"NO"
"co_Low Contributor - High Margin","ignored",1959,2316,34.9469116896376,36.8298791018998,-0.0511260818166826,"(-8.667 ; 4.901)",0.586,"NO"
"co_Low Contributor - High Margin","broadcasts",1959,2316,57.1424196018377,59.506908462867,-0.0397346950481355,"(-11.445 ; 6.716)",0.61,"NO"
"co_Low Contributor - High Margin","drac_score_avg",1959,2316,34.1918185920668,29.4480944400873,0.161087643943505,"(-0.933 ; 10.421)",0.101,"NO"
"co_Low Contributor - High Margin","driver_aborts",1959,2316,0.786115364982134,0.651554404145078,0.206522985618702,"(0.018 ; 0.251)",0.024,"YES"
"co_Low Contributor - High Margin","pax_can",1959,2316,0.519652884124553,0.394645941278066,0.31675719872261,"(0.053 ; 0.197)",0.001,"YES"
"co_Low Contributor - High Margin","rides_surge",1959,2316,0.40684022460439,0.354490500863558,0.147675956374869,"(-0.032 ; 0.136)",0.223,"NO"
"co_All Star","Utilisation_weighted",4343,4699,0.535066283207242,0.551539960041584,-0.0298685100406875,"(-0.044 ; 0.011)",0.239,"NO"
"co_All Star","AccR",4343,4699,0.0724229584989079,0.0619292516923529,0.169446691503472,"(0.007 ; 0.014)",0,"YES"
"co_All Star","RejR",4343,4699,0.364401604034952,0.347812182492563,0.0476964936176241,"(-0.014 ; 0.047)",0.293,"NO"
"co_All Star","IngoreR",4343,4699,0.56317543746614,0.590258565815084,-0.0458834990586618,"(-0.068 ; 0.014)",0.198,"NO"
"co_All Star","PassCanc_perAccepted",4343,4699,0.0797163191659984,0.0823027981963061,-0.0314263802324016,"(-0.008 ; 0.003)",0.353,"NO"
"co_All Star","driver_earning",4343,4699,125470.928390513,117382.273462439,0.0689086579215297,"(1819.647 ; 14357.663)",0.011,"YES"
"co_All Star","supply_hours",4343,4699,644.583697904674,588.928921047031,0.0945016875019428,"(30.479 ; 80.83)",0,"YES"
"co_All Star","utilisation",4343,4699,1.21863393490507,1.1738160350209,0.0381813661996642,"(0.001 ; 0.088)",0.043,"YES"
"co_All Star","rides",4343,4699,12.2546626755699,11.7222813364546,0.0454161885246424,"(-0.083 ; 1.148)",0.09,"NO"
"co_All Star","time_to_accept",4343,4699,18.2507954529343,14.1650404889197,0.28843934242268,"(3.536 ; 4.636)",0,"YES"
"co_All Star","time_to_reject",4343,4699,21.677198796772,11.617938007437,0.865838738586459,"(8.074 ; 12.045)",0,"YES"
"co_All Star","accepted",4343,4699,18.3762376237624,17.2260055330921,0.0667730013473271,"(0.263 ; 2.038)",0.011,"YES"
"co_All Star","rejected",4343,4699,92.4614321897306,96.7461161949351,-0.0442879174247287,"(-12.515 ; 3.945)",0.307,"NO"
"co_All Star","ignored",4343,4699,142.897306009671,164.184081719515,-0.129651885170022,"(-32.292 ; -10.282)",0,"YES"
"co_All Star","broadcasts",4343,4699,253.734975823164,278.156203447542,-0.0877968110065321,"(-40.113 ; -8.73)",0.002,"YES"
"co_All Star","drac_score_avg",4343,4699,114.205646961306,104.770197023063,0.0900585300623793,"(-0.26 ; 19.131)",0.056,"NO"
"co_All Star","driver_aborts",4343,4699,1.95786322818328,1.66354543519898,0.17692200450726,"(0.159 ; 0.43)",0,"YES"
"co_All Star","pax_can",4343,4699,1.46488602348607,1.41774845711854,0.0332481873853257,"(-0.05 ; 0.144)",0.341,"NO"
